FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TJ303;Um auf dem Bildschirm eines Oszilloskops ein stehendes Bild statt durchlaufender Wellenzüge zu erhalten muss, das Oszilloskop;;;;;eine Triggereinrichtung haben.;;;einen X-Vorteiler haben.;;;einen Y-Vorteiler haben.;;;einen Frequenzmarken-Generator haben.;;
TJ304;Welches Gerät kann für die Prüfung einer Signalform verwendet werden?;;;;;Oszilloskop;;;Absorptionsfrequenzmesser;;;Frequenzzähler;;;Dipmeter;;
TJ305;Welches dieser Geräte wird für die Anzeige von NF-Verzerrungen verwendet?;;;;;Oszilloskop;;;Transistorvoltmeter;;;Vielfachmessgerät;;;Frequenzzähler;;
TJ401;Bei dieser Schaltung handelt es sich um;tj401_a.jpg;1.0;;;ein Reflektometer.;;;ein Impedanzmessgerät.;;;einen Absolutleistungsmesser.;;;einen Absorptionsfrequenzmesser.;;
TJ402;Für welchen Zweck wird eine Stehwellenmessbrücke verwendet? Sie wird verwendet;;;;;zur Überprüfung der Anpassung.;;;zur Frequenzkontrolle.;;;zur Modulationskontrolle.;;;als Abschluss des Senders.;;
TJ403;Ein Stehwellenmessgerät misst bei einer HF-Leitung im Grunde;;;;;die Summen der Spannungen, die kapazitiv und induktiv bei einer Koppelschleife einkoppeln.;;;die vorhandene Impedanz in Vor- und Rückrichtung der Leitung.;;;die vorlaufende und rücklaufende Leistung am eingebauten Abschlusswiderstand.;;;die Maximalspannung (Umax) und die Minimalspannung (Umin) auf der Leitung.;;
TJ404;Ein Stehwellenmessgerät wird in ein ideal angepasstes Sender-/Antennensystem eingeschleift. Das Messgerät sollte;;;;;ein Stehwellenverhältnis von 1 anzeigen.;;;einen Rücklauf von 100% anzeigen.;;;ein Stehwellenverhältnis von 0 anzeigen.;;;ein Stehwellenverhältnis von 1:0 anzeigen.;;
TJ405;Welches dieser Instrumente kann für die Anzeige der Anpassung zwischen einem UHF-Sender und der Speiseleitung verwendet werden?;;;;;Reflektometer;;;Universalmessgerät mit Widerstandsanzeige;;;Interferometer;;;Anpassungsübertrager;;
TJ406;Eine Antenne hat ein Stehwellenverhältnis (VSWR) von 3. Wie viel Prozent der vorlaufenden Leistung wird an der Stoßstelle Kabel-Antenne reflektiert?;;;;;25%;;;33%;;;50%;;;75%;;
TJ501;Um die Skalenendwerte einer Sende-/Empfangsanlage mit VFO mit hinreichender Genauigkeit zu überprüfen, kann man;;;;;einen Frequenzzähler verwenden.;;;ein Dipmeter verwenden.;;;einen Absorptionsfrequenzmesser verwenden.;;;ein Oszilloskop verwenden.;;
TJ502;Für eine größtmögliche Genauigkeit sollte ein Frequenzzähler;;;;;mit einer temperaturstabilisierten Quarzzeitbasis ausgestattet sein.;;;mit einem 1:10 Vorteiler ausgestattet sein.;;;mit einer möglichst kurzen Torzeit betrieben werden.;;;mit einer Triggereinrichtung ausgestattet sein.;;
TJ503;Mit einem genauen Frequenzzähler und einem entsprechenden Dämpfungsglied kann;;;;;die genaue Messung einer Senderfrequenz erfolgen.;;;die genaue Messung der Oberschwingungsanteile eines Senders erfolgen.;;;die Messung des Seitenbandinhalts eines Senders erfolgen.;;;die Messung des Frequenzhubes eines FMSenders erfolgen.;;
TJ504;Ein Frequenzzähler verfügt über eine Genauigkeit von ±1 ppm. Wenn der Zähler auf den 100-MHz-Bereich eingestellt wird, beträgt die Genauigkeit am oberen Ende des 100-MHz-Bereichs plus bzw. minus;;;;;100 Hz.;;;10 Hz.;;;1 KHz.;;;100 MHz.;;
TJ505;Welches der folgenden Messgeräte ist für genaue Frequenzmessungen am besten geeignet?;;;;;Frequenzzähler;;;Absorptionsfrequenzmesser;;;Oszilloskop;;;Dipmeter;;
TJ506;Welches der folgenden Geräte kann in der Regel nicht für die Prüfung von Harmonischen verwendet werden?;;;;;Frequenzzähler;;;Interferenzwellenmesser;;;Absorptionsfrequenzmesser;;;Spektrumanalysator;;
TJ507;Ein digitaler Frequenzzähler verfügt über eine Genauigkeit von 10 ppm und wird für eine Messung bei 145 MHz verwendet. Welcher der Messwerte weist die richtige Anzahl von genauen Dezimalstellen für die angegebene Genauigkeit auf?;;;;;145,07 MHz;;;145,07522 MHz;;;145,0752 MHz;;;145,075215 MHz;;
TJ508;Benutzt man bei einem Frequenzzähler eine Torzeit von 10 s anstelle von 1 s erhöht sich;;;;;die Auflösung.;;;die Langzeitstabilität.;;;die Messgenauigkeit.;;;die Stabilität.;;
TJ509;Was stellt die mit X gekennzeichnete Stelle der folgenden Anzeige eines Frequenzzählers dar?;tj509_a.jpg;1.0;;;Kilohertz;;;Hertz;;;Hundertfache Hertz;;;Zehnfache Hertz;;
TJ510;Was stellt die mit X gekennzeichnete Stelle der folgenden Anzeige eines Frequenzzählers dar?;tj510_a.jpg;1.0;;;Zehnfache Hertz;;;Hertz;;;Hundertfache Hertz;;;Kilohertz;;
TJ601;Welches Gerät ist hier dargestellt?;tj601_a.jpg;1.0;;;Absorptionsfrequenzmesser;;;Dipmeter;;;Stehwellenmessgerät;;;Interferenzwellenmesser;;
TJ602;Ein Absorptionsfrequenzmesser hat normalerweise eine Genauigkeit von etwa;;;;;5%.;;;1%.;;;0,05%.;;;0,001%.;;
TJ603;Das einfachste Gerät, mit dem geprüft werden kann, ob ein Quarz mit dem richtigen Oberton arbeitet, ist ein;;;;;Absorptionsfrequenzmesser.;;;Digitalvoltmeter.;;;Hitzdraht-Amperemeter.;;;Breitband-Pegelmesser.;;
TJ604;Mit welchem Messgerät können Harmonische festgestellt werden?;;;;;Absorptionsfrequenzmesser;;;Vielfachmessgerät;;;Frequenzzähler;;;Diodentastkopf;;
TJ605;Ein Absorptionsfrequenzmesser ist ein Hilfsmittel zur Prüfung;;;;;der Oberwellenausstrahlungen.;;;der Frequenzdrift.;;;des Spitzenwertes des Modulationsgrades.;;;der genauen Sendefrequenz.;;
TJ606;Ein Absorptionsfrequenzmesser eignet sich zur Prüfung;;;;;der richtigen Oberwellenauswahl in einem Vervielfacher.;;;der Empfängerübersteuerung.;;;der Übermodulation.;;;von Signalen an der Bandgrenze.;;
TJ701;Was stellt diese Schaltung dar?;tj701_a.jpg;1.0;;;HF-Tastkopf;;;Absorptionsfrequenzmesser;;;Antennenimpedanzmesser;;;HF-Dipmeter;;
TJ702;Wozu dient diese Schaltung? Sie dient;tj702_a.jpg;1.0;;;zum Abgleich von HF-Schaltungen.;;;als Messkopf für Messungen mit einem HFDipmeter.;;;zur Messung der Resonanzfrequenz mit einem Frequenzzähler.;;;als Tastkopf für einen Logiktester.;;
TJ703;Was stellt diese Schaltung dar?;tj703_a.jpg;1.0;;;Messkopf zur HF-Leistungsmessung;;;Absorptionsfrequenzmesser;;;Antennenimpedanzmesser;;;HF-Dipmeter;;
TJ704;Sie wollen mit der folgenden Messschaltung die Ausgangsleistung eines 2-m-Senders überprüfen, der voraussichtlich zirka 15 W HF-Leistung liefert. Was sollte für die Messung vor die dargestellte Messschaltung geschaltet werden?;tj704_a.jpg;1.0;;;Dämpfungsglied 20 dB, 20 Watt;;;25-m-langes Koaxialkabel vom Typ RG213 (MIL);;;Stehwellenmessgerät;;;Adapter BNC-Buchse auf N-Stecker;;
TJ705;Was muss für die genaue Messung der HF-Ausgangsleistung eines Senders mit einer solchen Schaltung berücksichtigt werden?;tj705_a.jpg;1.0;;;Korrekturwerte, die z.B. aus Vergleichsmessungen stammen.;;;R₁ muss genau 50 Ω betragen.;;;Bei den Umrechnungen darf nur mit dem Effektivwert gerechnet werden.;;;Die Messschaltung muss vor jeder Messung mit einem Dipmeter überprüft werden.;;
TJ706;Was stellt diese Schaltung dar?;tj706_a.jpg;1.0;;;Feldstärkeanzeiger;;;Einfacher Peilempfänger;;;Antennenimpedanzmesser;;;Dipmeter;;
TJ707;Mit welchem der folgenden Messinstrumente können die genauen Frequenzen der Harmonischen eines Signals gemessen werden? Sie können gemessen werden;;;;;mit einem Spektrumanalysator.;;;mit einen digitalen Frequenzzähler.;;;mit einem Breitbandpegelmesser.;;;mit einem Oszilloskop.;;
TJ708;Für den Bau einer Dummy Load wurden Schichtwiderstände von 150 Ω / 1 Watt verwendet. Jeweils vier Widerstände wurden in Serie geschaltet und durch Parallelschaltung dieser Serienschaltungen wurden zirka 50 Ω erreicht. Wie viele Widerstände wurden insgesamt benötigt und welche Dauerleistung verträgt die Dummy Load?;tj708_a.jpg;1.0;;;gesamt 48 Widerstände, 48 Watt;;;gesamt 48 Widerstände, 12 Watt;;;gesamt 12 Widerstände, 48 Watt;;;gesamt 16 Widerstände, 16 Watt;;
TJ801;Wie werden elektrische Spannungsmesser an Messobjekte angeschlossen und welche Anforderungen muss das Messgerät erfüllen, damit der Messfehler möglichst gering bleibt?;;;;;Der Spannungsmesser ist parallel zum Messobjekt anzuschließen und sollte hochohmig sein.;;;Der Spannungsmesser ist in den Stromkreis einzuschleifen und sollte niederohmig sein.;;;Der Spannungsmesser ist parallel zum Messobjekt anzuschließen und sollte niederohmig sein.;;;Der Spannungsmesser ist in den Stromkreis einzuschleifen und sollte hochohmig sein.;;
TJ802;Wie sollten Strom- und Spannungsmesser zur Feststellung der Gleichstrom-Eingangsleistung des dargestellten Endverstärkers (PA) angeordnet werden?;tj802_a.jpg;1.0;;;Spannungsmesser bei 1, Amperemeter bei 3.;;;Spannungsmesser bei 1, Amperemeter bei 2.;;;Spannungsmesser bei 3, Amperemeter bei 1.;;;Spannungsmesser bei 3, Amperemeter bei 4.;;
TJ803;Für die Messung der Gleichstrom-Eingangsleistung werden verschiedene Messgeräte verwendet. Bei welchen der Instrumente in der Abbildung handelt es sich um Amperemeter?;tj803_a.jpg;1.0;;;2, 3 und 4;;;1, 2 und 3;;;2, 4 und 1;;;1, 3 und 4;;
TJ804;Welches der nachfolgend genannten Messgeräte ermöglicht die genaueste Messung der Spannung zwischen A und B?;tj804_a.jpg;1.0;;;Digital Multimeter mit einer Genauigkeit von ± 0,5 % ± 1 Digit und einem Eingangswiderstand von 10 MΩ in den Gleichspannungsmessbereichen;;;Feinmessgerät der Klasse 0,5 mit einer Empfindlichkeit von 10 kΩ/V;;;Drehspulmessgerät mit einer Empfindlichkeit von 4 kΩ/V;;;Digital Multimeter mit einer Genauigkeit von ± 0,5 % ± 1 Digit und einem Eingangswiderstand von 1 MΩ in den Gleichspannungsmessbereichen;;
TJ805;Mit einem Voltmeter der Klasse 1.5, das einen Skalenendwert von 300 Volt hat, messen Sie an einer Spannungsquelle 230 Volt. In welchem Bereich liegt der wahre Wert?;;;;;Er liegt zwischen 225,5 und 234,5 Volt.;;;Er liegt zwischen 226,5 und 233,5 Volt.;;;Er liegt zwischen 229,5 und 230,5 Volt.;;;Er liegt zwischen 229,7 und 230,3 Volt.;;
TJ806;Mit einem Voltmeter der Klasse 2.5, das einen Skalenendwert von 20 Volt hat, messen Sie an einer Spannungsquelle 12,6 Volt. In welchem Bereich liegt der wahre Wert?;;;;;Er liegt zwischen 12,1 und 13,1 Volt.;;;Er liegt zwischen 12,3 und 12,9 Volt.;;;Er liegt zwischen 12,55 und 12,65 Volt.;;;Er liegt zwischen 12,57 und 12,63 Volt.;;
TJ807;Das an den abgebildeten Spannungsteiler angeschlossene Messgerät ist auf den 10-V-Bereich eingestellt und hat eine Empfindlichkeit von 20 kΩ/V. Welcher Spannungswert wird angezeigt?;tj807_a.jpg;1.0;;;5 Volt;;;6,7 Volt;;;7,5 Volt;;;3,3 Volt;;
TJ809;Zur genauen Messung des Effektivwertes eines nicht sinusförmigen Stromes bis in den GHz-Bereich eignet sich;;;;;ein Messgerät mit Thermoumformer.;;;ein Oszillograf.;;;ein Messgerät mit Diodentastkopf.;;;ein Digitalmultimeter.;;
TJ810;Eine künstliche Antenne von 50 Ω verfügt über eine Anzapfung bei 5 Ω vom erdnahen Ende. Diese Anzapfung ermöglicht die;;;;;Messung der Ausgangsleistung.;;;Änderung der Antennenanpassung.;;;Erhöhung des Lastwirkungsgrades.;;;Einstellung der SWR-Messbrücke auf Null.;;
TJ811;Eine künstliche Antenne von 50 Ω verfügt über eine Anzapfung bei 5 Ω vom erdnahen Ende. Was könnte zur ungefähren Ermittlung der Senderausgangsleistung über diesen Messpunkt eingesetzt werden?;;;;;Digitalmultimeter mit HF-Tastkopf;;;Dipmeter mit Linkleitung;;;Stehwellenmessgerät ohne Abschlusswiderstand.;;;Künstliche 50-Ω-Antenne mit zusätzlichem HF-Dämpfungsglied;;
TJ812;Wie ermittelt man die Resonanzfrequenz eines passiven Schwingkreises?;;;;;Durch Messung von L und C und Berechnung oder z.B. mit einem Dipmeter.;;;Mit einem Frequenzmesser oder einem Oszilloskop.;;;Mit einem Digital-Multimeter in der Stellung Frequenzmessung.;;;Mit Hilfe der S-Meter Anzeige bei Anschluss des Schwingkreises an den Empfängereingang.;;
TJ813;Die Resonanzfrequenz eines abgestimmten HF-Kreises kann mit einem;;;;;Dipmeter überprüft werden.};;;Gleichspannungsmesser überprüft werden.;;;digitalen Frequenzmessgerät überprüft werden.;;;Ohmmeter überprüft werden.;;
TJ814;Ein abgestimmter Kreis wird mit einem Dipmeter geprüft. Um eine Änderung der Resonanzfrequenz zu vermeiden, ist;;;;;eine verhältnismäßig lose Kopplung erforderlich.;;;Widerstandskopplung erforderlich.;;;eine starke Kopplung erforderlich.;;;höchstmögliche Kopplung erforderlich.;;
TJ815;Welches Hilfsmittel sollten Sie bei präzisen Frequenzmessungen benutzen?;;;;;Einen Frequenzzähler mit stabiler Zeitbasis.;;;Einen KW-Empfänger mit Frequenzanzeige.;;;Ein Digital-Multimeter in der Stellung Frequenzmessung.;;;Einen Absorptionsfrequenzmesser oder ein Dipmeter.;;
TJ816;Wenn ein Frequenzzähler für die Überprüfung der Frequenz eines Senders verwendet wird, ist;;;;;ein Träger ohne Modulation zu verwenden.;;;der Zähler an den Netztransformator zu synchronisieren.;;;der Zähler mit der Sendefrequenz zu synchronisieren.;;;eine analoge Modulation des Trägers zu verwenden.;;
TJ817;Welche Konfiguration gewährleistet die höchste Genauigkeit bei der Prüfung der Trägerfrequenz eines FM-Senders?;;;;;Frequenzzähler und unmodulierter Träger;;;Oszilloskop und unmodulierter Träger;;;Frequenzzähler und modulierter Träger;;;Absorptionsfrequenzmesser und modulierter Träger;;
TJ818;Ein RTTY-Signal benötigt eine Bandbreite von ±3 kHz. Ein Frequenzzähler mit einer Genauigkeit von 1 ppm wird für die Prüfung der Frequenzanzeige eines 145-MHz-Senders verwendet. Wie klein darf der Mindestabstand zur oberen Bandgrenze sein, damit die Aussendung innerhalb des Bandes stattfindet?;;;;;3,145 kHz;;;6,30 kHz;;;4,45 kHz;;;6,00 kHz;;
TJ819;Ein Quarznormal hat einen relativen Fehler von F = +/- 0,001 %. Wie genau können Sie eine Frequenz von f = 14100 kHz bestimmen?;;;;;F = ±141 Hz;;;F = ±1,41 Hz;;;F = ±14,1 Hz;;;F = ±1410 Hz;;
TJ820;Wenn ein Faktor-10-Frequenzteiler vor einem Frequenzzähler geschaltet wird und der Zähler 14,5625 MHz anzeigt, beträgt die tatsächliche Frequenz;;;;;145,625 MHz.;;;1,45625 MHz.;;;14,5625 MHz.;;;135,625 MHz.;;
TJ821;Wie misst man das Stehwellenverhältnis? Man misst es;;;;;mit einer SWR-Messbrücke oder einer Messleitung.;;;mit einem Absorptionsfrequenzmesser oder einem Dipmeter.;;;durch Strommessung am Anfang und am Ende der Speiseleitung.;;;durch Spannungsmessung am Anfang und am Ende der Speiseleitung.;;
TJ822;Ein Stehwellenmessgerät wird bei Sendern zur Messung;;;;;der Antennenanpassung eingesetzt.;;;der Oberwellenausgangsleistung eingesetzt.;;;der Bandbreite eingesetzt.;;;des Wirkungsgrades eingesetzt.;;
TJ823;An welchem Punkt sollte das Stehwellenmessgerät eingeschleift werden, um zu prüfen, ob der Sender gut an die Antennenanlage angepasst ist?;tj823_a.jpg;1.0;;;Punkt 1;;;Punkt 2;;;Punkt 3;;;Punkt 4;;
TJ824;Zur Überprüfung eines Stehwellenmessgerätes wird dessen Ausgang mit einem 150-Ω-Widerstand abgeschlossen. Welches Stehwellenverhältnis muss das Messgerät anzeigen, wenn die Impedanz von Messgerät und Sender 50 Ω beträgt?;;;;;3;;;2,5;;;3,33;;;2;;
TJ825;Welches Messgerät könnte für den Nachweis von Harmonischen einer Aussendung verwendet werden?;;;;;Absorptionsfrequenzmesser;;;Stehwellenmessgerät;;;Frequenzzähler;;;HF-Leistungsmesser;;
TJ826;Wann sollten mögliche Oberwellenausstrahlungen überprüft werden?;;;;;Gelegentlich;;;Nur im Falle einer Beschwerde;;;Bei Empfang eines Störsignals;;;Täglich;;
TJ827;Worauf deutet die folgende Wellenform der Ausgangsspannung eines Leistungsverstärkers hin?;tj827_a.jpg;1.0;;;Der Verstärker wird übersteuert und erzeugt Oberwellen.;;;Vor dem Modulator erfolgt eine Hubbegrenzung.;;;Das Ansteuersignal ist zu schwach, um den Verstärker voll auszusteuern.;;;Eine Blitzschutzpatrone begrenzt die Spannung.;;
TJ828;Womit misst man am einfachsten die Hüllkurvenform eines HF-Signals? Man misst es am einfachsten mit einem;;;;;breitbandigen Oszilloskop.;;;hochohmigen Vielfachinstrument in Stellung AC.;;;empfindlichen Dipmeter in Stellung Wellenmessung.;;;breitbandigen Detektor und Kopfhörer.;;
TJ829;Die Pulsbreite wird mit einem Oszilloskop normalerweise bei;;;;;50 % der Amplitude gemessen.;;;90 % der Amplitude gemessen.;;;70 % der Amplitude gemessen.;;;10 % der Amplitude gemessen.;;
TJ830;Dem Eingang der folgenden Messschaltung wird eine HF-Leistung von 1 Watt zugeführt. D ist eine Schottkydiode mit UF = 0,23V. Welche Spannung UA ist am Ausgang A zu erwarten, wenn die Messung mit einem hochohmigen Voltmeter erfolgt?;tj830_a.jpg;1.0;;;4,8 V;;;3,3 V;;;7,1 V;;;9,8 V;;
TJ831;Bei der folgenden Schaltung besteht R₁ aus einer Zusammenschaltung von Widerständen, die einen Gesamtwidersand von 50,77 Ω hat und etwa 200 Watt aufnehmen kann. D ist eine Siliziumdiode mit UF = 0,7 V. Am Ausgang wird mit einem Digitalvoltmeter eine Gleichspannung von 14,9 V gemessen. Wie groß ist etwa die HF-Leistung am Eingang der Schaltung?;tj831_a.jpg;1.0;;;9,5 Watt;;;37,8 Watt;;;4,7 Watt;;;19 Watt;;
TJ832;Mit der folgenden Schaltung soll die Ausgangsleistung eines 2-m-Handfunkgerätes gemessen werden. D₁ und D₂ sind Schottkydioden mit UF = 0,23 V. Am Ausgang wird mit einem Digitalvoltmeter eine Gleichspannung von 15,3 V gemessen. Wie groß ist etwa die HF-Leistung am Eingang der Schaltung?;tj832_a.jpg;1.0;;;Zirka 600 mW;;;Zirka 4,7 Watt;;;Zirka 1,2 Watt;;;Zirka 2,4 Watt;;
TJ833;Die Leistung eines 2-m-Senders soll mit einer künstlichen 50-Ω-Antenne bestimmt werden, die über eine Anzapfung bei 5 Ω vom erdnahen Ende verfügt. Zur Messung an diesem Punkt wird die folgende Schaltung eingesetzt. D₁ und D₂ sind Schottkydioden mit UF = 0,23 V. Am Ausgang der Schaltung wird dabei mit einem Digitalvoltmeter eine Gleichspannung von 15,3 V gemessen. Wie groß ist etwa die HF-Leistung des Senders?;tj833_a.jpg;1.0;;;Zirka 60 Watt;;;Zirka 480 Watt;;;Zirka 340 Watt;;;Zirka 240 Watt;;
TJ834;Das folgende Bild zeigt das Zweiton-SSB-Ausgangssignal eines KW-Senders, das mit einem Oszilloskop ausreichender Bandbreite über einen 10:1-Tastkopf direkt an der angeschlossenen künstlichen 50-Ω-Antenne gemessen wurde. Welche Ausgangsleistung (PEP) liefert der Sender?;tj834_a.jpg;1.0;;;36,0 W;;;144 W;;;400 W;;;576 W;;
TJ835;Das folgende Bild zeigt das Zweiton-SSB-Ausgangssignal eines KW-Senders, das mit einem Oszilloskop ausreichender Bandbreite über einen 2:1-Tastkopf direkt an der angeschlossenen künstlichen 50-Ω-Antenne gemessen wurde. Welche Ausgangsleistung (PEP) liefert der Sender?;tj835_a.jpg;1.0;;;144 W;;;36,0 W;;;400 W;;;576 W;;
TJ836;Das folgende Bild zeigt das Zweiton-SSB-Ausgangssignal eines KW-Senders, das mit einem Oszilloskop ausreichender Bandbreite über einen 2:1-Tastkopf direkt an der angeschlossenen künstlichen 50-Ω-Antenne gemessen wurde. Welche Ausgangsleistung (PEP) liefert der Sender?;tj836_a.jpg;1.0;;;400 W;;;36,0 W;;;144 W;;;1,6 kW;;
TK101;Wie äußert sich Zustopfen bzw. Blockierung eines Empfängers? Es äußert sich durch;;;;;den Rückgang der Empfindlichkeit und ggf. das Auftreten von Brodelgeräuschen.;;;Empfindlichkeitssteigerung.;;;das Auftreten von Pfeifstellen im gesamten Abstimmungsbereich.;;;eine zeitweilige Blockierung der Frequenzeinstellung.;;
TK102;Welche Effekte werden durch Intermodulation hervorgerufen?;;;;;Es treten Phantomsignale auf, die bei Einschalten eines Abschwächers in den HF-Signalweg verschwinden.;;;Das Nutzsignal wird mit einem anderen Signal moduliert und dadurch unverständlich.;;;Es treten Pfeifstellen gleichen Abstands im gesamten Empfangsbereich auf.;;;Dem Empfangssignal ist ein pulsierendes Rauschen überlagert, das die Verständlichkeit beeinträchtigt.;;
TK103;Wie kommen Geräusche aus den Lautsprechern einer abgeschalteten Stereoanlage möglicherweise zustande?;;;;;Durch Gleichrichtung starker HF-Signale an PN-Übergängen in der NF-Endstufe.;;;Durch Gleichrichtung der ins Stromnetz eingestrahlten HF-Signale an den Dioden des Netzteils.;;;Durch Gleichrichtung abgestrahlter HF-Signale an PN-Übergängen in der NF-Vorstufe.;;;Durch eine Übersteuerung des Tuners mit dem über die Antennenzuleitung aufgenommenen HF-Signal.;;
TK104;Ein Sender sollte so betrieben werden, dass;;;;;er keine unerwünschten Aussendungen hervorruft.;;;die Selbsterregung maximiert wird.;;;parasitäre Schwingungen vorhanden sind.;;;die Oberwellenabschirmung minimiert wird.;;
TK105;In einem NF-Verstärker erfolgt die unerwünschte Gleichrichtung eines HF-Signals wahrscheinlich;;;;;an einem Basis-Emitter-Übergang.;;;an der Lautsprecherleitung.;;;an der Verbindung zweier Widerstände.;;;an einem Kupferdraht.;;
TK106;Alle Geräte, die HF-Ströme übertragen, sollten;;;;;möglichst gut geschirmt sein.;;;nicht geerdet sein.;;;über das Stromversorgungsnetz geerdet sein.;;;durch Kunststoffabdeckungen geschützt sein.;;
TK107;Durch eine Mantelwellendrossel in einem Fernseh-Antennenzuführungskabel;;;;;werden Gleichtakt-HF-Störsignale unterdrückt.;;;werden niederfrequente Störsignale unterdrückt.;;;werden alle Wechselstromsignale unterdrückt.;;;wird Netzbrummen unterdrückt.;;
TK108;Ein unselektiver TV-Vorverstärker wird am wahrscheinlichsten;;;;;durch Übersteuerung mit dem Signal eines nahen Sender störend beeinflusst.;;;auf Grund von Netzeinwirkungen beim Betrieb eines nahen Senders störend beeinflusst.;;;durch Einwirkungen auf die Gleichstromversorgung beim Betrieb eines nahen Senders störend beeinflusst.;;;auf Grund seiner zu niedrigen Verstärkung beim Betrieb eines nahen Senders störend beeinflusst.;;
TK109;HF-Einstrahlung in die ZF-Stufe eines Fernsehempfängers führt in der Regel zu;;;;;Problemen mit dem Fernsehempfang.;;;mangelhafter Regelung der Stromversorgung.;;;ungesteuertem Kanalwechsel.;;;fehlender Regelspannung für den Tuner.;;
TK110;Zur Verbesserung der Störfestigkeit gegenüber HF-Einstrahlungen können in einem NF-Leistungsverstärker;;;;;keramische Kondensatoren über die Basis-Emitter-Übergänge der Endstufentransistoren eingebaut werden.;;;HF-Drosseln über die Basis-Emitter-Übergänge der Endstufentransistoren eingebaut werden.;;;keramische Kondensatoren über die Emitterwiderstände der Endstufentransistoren eingebaut werden.;;;HF-Drosseln parallel zu den Kollektor- und Emitteranschlüssen der Endstufentransistoren eingebaut werden.;;
TK111;Welche sofortige Reaktion ist angebracht, wenn der Nachbar sich über HF-Einströmungen beklagt?;;;;;Sie bieten höflich an, die erforderlichen Prüfungen in die Wege zu leiten.;;;Er sollte höflich darauf hingewiesen werden, dass es an seiner eigenen Einrichtung liegt.;;;Er sollte darauf hingewiesen werden, dass Sie hierfür nicht zuständig sind.;;;Sie benachrichtigen die Bundesnetzagentur und den RTA.;;
TK112;Ein Fernsehgerät wird durch das Nutzsignal einer KW-Amateurfunkstelle gestört. Wie kann das Signal in das Fernsehgerät eindringen?;;;;;Über jeden beliebigen Leitungsanschluss und/oder über die ZF-Stufen.;;;Über die Antennenleitung und über alle größeren ungeschirmten Spulen im Fernsehgerät (z.B. Entmagnetisierungsschleife).;;;Über die Stromversorgung des Senders und die Stromversorgung des Fernsehgeräts.;;;Über die Fernsehantenne bzw. das Antennenkabel sowie über die Bildröhre.;;
TK113;Ein Funkamateur wohnt in einem Reihenhaus. An welcher Stelle sollte die KW-Drahtantenne angebracht werden, um die Störwahrscheinlichkeit auf ein Mindestmaß zu begrenzen? Sie sollte möglichst;;;;;rechtwinklig zur Häuserzeile angebracht werden.;;;am gemeinsamen Schornstein neben der Fernsehantenne angebracht werden.;;;entlang der Häuserzeile auf der Höhe der Dachrinne angebracht werden.;;;innerhalb des Dachbereichs angebracht werden.;;
TK114;Beim Betrieb Ihres 2-m-Senders wird bei einem Ihrer Nachbarn ein Fernsehempfänger gestört, der mit einer Zimmerantenne betrieben wird. Zur Behebung des Problems schlagen Sie dem Nachbarn vor,;;;;;eine außen angebrachte Fernsehantenne zu installieren.;;;ein doppelt geschirmtes Koaxialkabel für die Antennenleitung zu verwenden.;;;einen Vorverstärker in die Antennenleitung einzuschleifen.;;;den Fernsehrundfunkempfänger zu wechseln.;;
TK115;Während des Betriebs eines tragbaren KW-Transceivers mit Batterieversorgung treten zu Hause und unter Verwendung der ortsfesten Antenne bei einer elektronischen Orgel Störungen auf. Eine mögliche Ursache hierfür;;;;;ist unzureichende HF-Erdung.;;;ist die Erzeugung von Subharmonischen am Sender.;;;sind sehr starke Empfangssignale.;;;ist die mangelhafte Stromversorgung des Senders.;;
TK116;In welcher Entfernung von einer 70-cm-Sendeantenne sollte eine Fernsehantenne installiert werden, um das Störpotenzial möglichst gering zu halten? Sie sollte;;;;;so weit entfernt wie möglich installiert werden.;;;außerhalb des reaktiven Nahfeldes installiert werden.;;;in einer Entfernung von mindestens 4 Wellenlängen installiert werden.;;;in einer Entfernung von mindestens einer halben Wellenlänge bei 432 MHz installiert werden.;;
TK117;Ein starkes HF-Signal gelangt in die ZF-Stufe des Rundfunkempfängers des Nachbarn. Dieses Phänomen wird als;;;;;Direkteinstrahlung bezeichnet.;;;Direktabsorption bezeichnet.;;;Direktmischung bezeichnet.;;;HF-Durchschlag bezeichnet.;;
TK118;Die Bemühungen, die durch eine in der Nähe befindliche Amateurfunkstelle hervorgerufenen Fernsehstörungen zu verringern, sind fehlgeschlagen. Als nächster Schritt ist;;;;;die zuständige Außenstelle der Bundesnetzagentur um Prüfung der Gegebenheiten zu bitten.;;;der Sender an die Bundesnetzagentur zu senden.;;;die Rückseite des Fernsehgeräts zu entfernen und das Gehäuse zu erden.;;;der EMV-Beauftragte des RTA um Prüfung des Fernsehgeräts zu bitten.;;
TK119;Während einer ATV-Aussendung erscheint das Bild auch auf dem Fernsehgerät der Nachbarn. Eine mögliche Abhilfe der Störung wäre die;;;;;Verminderung der Ausgangsleistung.;;;Erhöhung des Modulationsgrades der ATV-Aussendung.;;;Verringerung von Bildkontrast und -helligkeit beim Nachbarn.;;;Verbesserung der Seitenbandunterdrückung beim Nachbarn.;;
